"","st_id","female","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","admit_gpa","n_section"
"2522","6b6a",1,2,1,0,0,0,2.7,2.87,3.3,"BIO300",201710,3.95,599
"2523","44b9",1,1,1,0,0,0,3,2.28,3.36,"MATH100",201810,3.96,884
"2524","1336",1,1,1,0,0,1,3,3.15,3.84,"BIO300",201610,4.16,652
"2525","40c5",1,1,1,0,0,1,1.3,2.45,2.48,"EVOL305",201803,3.77,268
"2526","bf98",1,2,0,0,0,0,4,3.91,3.49,"MATH100",201910,4.29,1005
"2527","734d",0,1,0,0,0,0,1.7,2.94,3.1,"BIO300",201910,3.95,642
"2528","1e3a",1,2,0,0,0,0,3,2.74,3.35,"MATH100",201610,4.07,908
"2529","ad1b",0,2,1,0,0,0,1.7,2.2,2.23,"BIO300",201803,4.18,749
"2530","b629",1,2,0,0,1,0,3,NA,3.7,"MATH100",201710,3.2,935
"2531","8407",1,0,1,0,1,0,2.3,2.92,3.39,"EVOL305",201801,3.76,233
"2532","754d",0,2,1,1,1,1,3,3.5,3.99,"BIO300",201801,3.73,730
"2533","b645",1,2,0,0,0,0,2,3.29,2.9,"CHEM201",201910,4.04,143
"2534","0042",1,1,1,0,1,0,3,2.96,2.81,"MATH100",201801,3.97,539
"2535","d0c7",1,2,0,1,0,0,2.3,3.08,3.14,"MATH100",201703,3.61,537
"2536","9d3c",0,0,0,0,1,0,2.3,2.72,3.33,"BIO300",201710,4,599
"2537","ae8e",1,2,1,0,1,1,0,2.26,0.79,"BIO300",201801,2.85,730
"2538","8016",1,0,0,0,0,0,4,4,4,"CHEM201",201910,4.23,143
"2539","db70",1,2,0,0,1,1,2.7,2.79,0.74,"BIO300",201901,3.63,818
"2540","ab82",1,0,0,0,1,0,3.3,NA,3.43,"BIO300",201710,3.11,599
"2541","aaee",0,1,0,0,0,0,3.3,3.55,3.71,"EVOL305",201710,4.2,255
"2542","3fb9",0,0,1,0,1,0,2,2.33,2.7,"BIO300",201903,3.02,575
"2543","e003",0,2,0,0,1,0,3.7,3.38,4,"EVOL305",201810,3.85,321
"2544","0761",0,0,0,0,0,0,4,3.44,3.85,"BIO300",201910,3.64,642
"2545","e076",1,1,0,0,0,0,2.7,2.84,3.3,"MATH100",201703,4.09,537
"2546","0269",0,0,0,0,1,0,2.7,NA,3.41,"MATH100",201710,3.47,935
"2547","91a9",0,1,0,0,1,0,3,2.54,3.7,"BIO300",201710,3.62,599
"2548","bea1",0,2,1,0,1,0,1.7,2.98,3.06,"MATH100",201610,2.92,908
"2549","32f8",0,2,1,0,0,0,4,3.39,3.89,"MATH100",201903,4.04,456
"2550","910e",1,2,0,0,0,0,3,3.78,3.99,"BIO300",201910,4.09,642
"2551","f0dc",0,2,0,0,1,0,2.3,2.85,2.74,"BIO300",201701,3.33,624
"2552","f040",0,2,0,0,0,0,2,2.4,2.59,"MATH100",201803,4.04,584
"2553","2e79",1,0,1,0,0,0,4,3.22,3.76,"EVOL305",201910,4.12,384
"2554","59e6",1,1,1,0,0,0,3.3,2.77,3.15,"MATH100",201803,3.96,584
"2555","52d3",1,2,0,0,0,0,2.3,3.06,3.2,"BIO300",201801,4.07,730
"2556","26e1",0,1,1,1,1,1,4,3.1,2.91,"BIO300",201801,3.32,730
"2557","3d63",0,2,0,0,1,0,1.7,2.15,2.09,"BIO300",201803,3.32,749
"2558","ef04",0,0,1,0,1,0,3,NA,NA,"MATH100",201710,3.8,935
"2559","5bc7",1,2,0,0,0,1,0.7,2.59,2.21,"BIO300",201910,4.04,642
"2560","c3b5",1,1,1,0,0,0,2,2.82,3.27,"BIO300",201903,3.54,575
"2561","6866",1,1,1,0,1,0,2.3,NA,3.14,"MATH100",201910,3.71,1005
"2562","3918",1,2,1,0,0,1,2.3,3.28,3.3,"BIO300",201703,4,665
"2563","f659",1,2,0,0,0,0,1.7,2.54,3.1,"MATH100",201701,4.12,475
"2564","a5b6",0,2,1,0,1,0,2.7,2.76,2.3,"EVOL305",201903,3.3,233
"2565","cd05",1,2,1,0,0,0,4,3.54,3.56,"BIO300",201903,4.29,575
"2566","2d92",1,1,0,0,0,0,3.7,3.51,2,"MATH100",201903,4.21,456
"2567","ca47",0,1,0,0,0,1,3.7,3.2,3.45,"MATH100",201803,4.16,584
"2568","c5f6",1,2,0,1,0,0,3.3,3.37,3.3,"MATH100",201810,3.91,884
"2569","f377",1,1,0,0,1,0,3.3,3.51,3.59,"BIO300",201610,3.95,652
"2570","9d90",1,1,1,0,1,0,3,NA,2.96,"MATH100",201710,3.38,935
"2571","3ff7",0,1,1,0,0,1,2,2.64,3.55,"BIO300",201610,3.92,652
"2572","742a",1,1,0,0,1,0,3.3,3.55,3.3,"BIO300",201901,3.79,818
"2573","475e",1,2,1,0,0,0,4,3.9,3.89,"EVOL305",201903,4.18,233
"2574","96fb",1,2,0,0,0,0,3.7,3.56,3.77,"MATH100",201910,4.03,1005
"2575","4139",1,0,0,0,1,0,3.3,3.49,3.6,"EVOL305",201710,3.69,255
"2576","375f",0,2,1,0,1,1,1.3,2.3,1.66,"BIO300",201901,3.7,818
"2577","a0d7",0,2,1,0,0,1,2.3,2.7,2.34,"CHEM201",201910,4.17,143
"2578","81f3",1,1,1,0,1,0,3.3,NA,3.85,"MATH100",201810,2.92,884
"2579","37cb",1,0,1,0,1,1,2.3,2.4,2.88,"EVOL305",201803,3.05,268
"2580","c0b7",1,0,0,0,0,0,1.3,2.88,2.1,"MATH100",201910,4.33,1005
"2581","3839",1,2,0,0,1,0,1,2.65,3,"BIO300",201910,3.59,642
"2582","212e",1,1,0,0,0,0,2.3,3.04,2.34,"MATH100",201910,4.09,1005
"2583","f689",1,0,1,0,0,1,3,3.17,3.43,"MATH100",201901,4.23,575
"2584","84f6",1,1,0,0,0,0,3,3.37,2.3,"MATH100",201801,4.03,539
"2585","8f68",0,0,0,0,0,0,3,2.62,3.49,"MATH100",201610,4.08,908
"2586","321c",1,2,1,0,0,0,3.7,3.68,3.79,"EVOL305",201903,4.11,233
"2587","4875",1,0,1,0,0,0,2,2.91,3.24,"MATH100",201610,4.27,908
"2588","a1e2",1,1,0,0,0,0,2.3,2.81,3.35,"BIO300",201801,4.16,730
"2589","e703",1,2,0,1,0,0,3.7,3.79,3.85,"CHEM201",201710,3.31,119
"2590","afd1",1,2,0,0,0,0,3.3,3.67,3.24,"MATH100",201803,4.12,584
"2591","6641",1,1,1,0,0,1,2,2.52,4,"BIO300",201901,4.3,818
"2592","f303",0,0,0,0,1,1,2.7,3.1,3,"MATH100",201703,3.43,537
"2593","00f5",0,2,0,1,0,0,4,3.93,3.78,"MATH100",201710,3.72,935
"2594","358b",1,1,1,0,0,0,3,3.25,3.59,"BIO300",201801,4.15,730
"2595","1c16",0,2,1,0,0,0,3,3.12,3.2,"MATH100",201610,4.08,908
"2596","2788",1,2,1,0,0,0,1.7,2.72,3.11,"MATH100",201910,4.04,1005
"2597","4ab1",1,1,1,0,0,1,3,2.96,3.64,"BIO300",201701,3.8,624
"2598","8660",0,1,1,0,1,0,3,2.74,3.07,"BIO300",201610,3.11,652
"2599","bd29",1,2,1,0,0,0,2.7,2.55,2.41,"MATH100",201810,3.94,884
"2600","d490",0,2,0,0,1,0,1,2.95,2.01,"BIO300",201803,3.11,749
"2601","4163",1,2,0,0,0,0,3.7,3.27,3.44,"MATH100",201803,4.2,584
"2602","c264",0,0,0,0,1,0,2.7,NA,3.47,"MATH100",201710,3.02,935
"2603","e07a",1,2,0,0,0,1,1,2.27,1.5,"MATH100",201703,4,537
"2604","ad7a",1,2,0,0,1,0,3.7,3.65,3.33,"EVOL305",201910,3.74,384
"2605","e16d",1,0,1,0,1,0,2.3,2.46,2.89,"BIO300",201903,3.9,575
"2606","c30e",0,2,1,0,1,1,3.3,NA,3.58,"MATH100",201610,3.6,908
"2607","5e25",1,0,0,0,0,0,3,3.81,3.2,"BIO300",201903,4.13,575
"2608","1568",0,2,0,0,1,0,1,NA,2.68,"BIO300",201810,3.45,664
"2609","2e0e",1,1,1,1,0,1,3,3.34,3.64,"EVOL305",201803,4.13,268
"2610","69ed",1,0,0,0,0,0,1.7,2.91,3.99,"BIO300",201901,4.07,818
"2611","6016",1,1,1,0,0,1,3.7,3.03,2.69,"MATH100",201901,3.82,575
"2612","a125",1,0,0,0,0,0,3,2.94,3.43,"MATH100",201910,4.25,1005
"2613","b63d",1,0,1,0,1,1,1.3,2.98,2.56,"BIO300",201810,3.15,664
"2614","13c5",1,2,1,0,1,0,3.7,3.71,3.64,"BIO300",201810,3.9,664
"2615","c05f",0,2,1,1,1,0,2.7,2.57,2.28,"EVOL305",201901,3.61,191
"2616","3e23",1,0,0,0,1,1,3.3,3.85,3.74,"BIO300",201901,3.59,818
"2617","8668",0,0,0,0,0,0,1.7,3.05,1.49,"EVOL305",201810,3.86,321
"2618","3196",1,2,1,0,1,1,2.7,3.01,2.7,"BIO300",201901,3.63,818
"2619","cc0a",1,0,0,0,0,0,3.7,3.68,3.46,"MATH100",201703,3.86,537
"2620","d898",1,1,1,0,0,1,2,3.12,3,"EVOL305",201801,3.88,233
"2621","d64d",0,2,0,1,1,1,3.3,NA,NA,"MATH100",201901,3.3,575
"2622","b4cb",1,2,0,0,0,0,3,2.67,3,"EVOL305",201803,4.08,268
"2623","4ec7",0,0,0,0,0,0,3.3,3,3.5,"MATH100",201710,3.89,935
"2624","aa27",0,2,0,0,0,0,3,3.1,3.2,"CHEM201",201910,3.89,143
"2625","fe7b",1,0,0,0,0,0,3.7,3.17,3.3,"MATH100",201701,4.36,475
"2626","b91b",1,1,0,0,1,0,0,2.48,1.33,"EVOL305",201710,3.06,255
"2627","d061",1,2,1,0,0,0,3,3.82,2.34,"MATH100",201810,4.33,884
"2628","ef8d",1,0,0,0,0,0,3.7,3.26,3.56,"MATH100",201803,4.04,584
"2629","46fb",1,0,0,0,0,0,4,3.94,4,"BIO300",201803,4.25,749
"2630","f46c",0,0,0,0,0,0,3.7,2.89,3.17,"BIO300",201910,3.5,642
"2631","55d2",1,2,1,0,0,0,3,2.65,3.15,"BIO300",201901,4.15,818
"2632","e38b",1,2,0,0,0,0,3.3,3.34,3.5,"BIO300",201803,4,749
"2633","066a",1,2,0,0,0,0,4,3.96,3.64,"BIO300",201803,4.2,749
"2634","c718",1,2,0,0,0,0,2.7,2.55,3.69,"BIO300",201803,4.23,749
"2635","3ff0",1,2,0,0,0,0,3,2.78,3.35,"BIO300",201910,4.1,642
"2636","a890",1,2,0,0,0,0,3,3.01,2.42,"MATH100",201810,4.12,884
"2637","51ae",1,0,0,0,0,0,2.7,3.5,3.53,"BIO300",201901,4.12,818
"2638","4a82",0,1,1,0,1,0,1,NA,1,"MATH100",201910,2.92,1005
"2639","d8cc",1,2,1,0,1,0,4,NA,4,"MATH100",201710,3.69,935
"2640","a987",1,2,1,0,0,0,2.7,3.04,3.68,"MATH100",201810,4,884
"2641","a3b2",1,2,1,0,1,0,2.7,3.25,3.84,"BIO300",201703,3.79,665
"2642","0668",0,2,1,1,0,0,3,3.2,3.56,"EVOL305",201901,4,191
"2643","5000",1,2,0,0,0,0,1.7,2.93,3.35,"MATH100",201801,4.09,539
"2644","5526",0,0,0,0,1,0,3.3,NA,3.99,"MATH100",201610,3.71,908
"2645","e448",0,1,1,0,1,0,2.7,3.08,3.39,"BIO300",201701,3.37,624
"2646","59c4",1,0,0,0,1,0,2,2.61,2.91,"BIO300",201703,3.11,665
"2647","80e4",0,2,0,0,1,0,2,NA,2.49,"MATH100",201710,3.07,935
"2648","a1ff",1,2,0,0,1,0,3.7,NA,3.7,"MATH100",201710,3.47,935
"2649","b005",1,2,0,0,0,0,4,3.78,4,"BIO300",201903,4.27,575
"2650","95f7",1,2,0,0,0,1,3,2.93,3.44,"BIO300",201710,3.53,599
"2651","c83f",0,1,1,0,0,1,2,2.68,3.7,"MATH100",201910,4.18,1005
"2652","217d",0,0,1,0,1,0,2.7,NA,2.27,"CHEM201",201610,3.43,155
"2653","e16d",0,1,1,0,0,1,2,3.14,2.35,"BIO300",201903,4.19,575
"2654","c386",1,2,1,0,0,1,3,3.05,3.14,"EVOL305",201810,4.15,321
"2655","50f6",1,0,0,0,0,0,4,3.98,4,"EVOL305",201910,4.33,384
"2656","86ed",1,0,0,0,0,0,3.7,3.82,3.92,"EVOL305",201701,4.2,183
"2657","9858",1,2,0,0,0,0,3.3,3.24,3,"EVOL305",201901,4.27,191
"2658","5a84",0,2,1,0,1,1,3.3,NA,3.13,"MATH100",201610,3.37,908
"2659","3d07",0,2,0,1,1,0,3,2.9,3,"MATH100",201703,3.67,537
"2660","8abf",1,2,1,1,1,0,2.7,3.04,3.99,"MATH100",201901,3.64,575
"2661","0e63",1,0,0,0,0,0,2,3.33,3.09,"CHEM201",201810,4.2,149
"2662","da9c",1,2,0,0,0,0,4,4,4,"BIO300",201903,4.36,575
"2663","a943",1,2,0,1,0,0,1.7,2.48,2.7,"MATH100",201610,3.97,908
"2664","e52b",1,0,0,0,1,0,3,3.23,1.82,"BIO300",201701,3.66,624
"2665","39c7",1,2,1,0,0,1,3.3,2.73,3.31,"CHEM201",201910,4,143
"2666","2a19",1,2,1,0,1,0,2,NA,2.49,"MATH100",201710,3.32,935
"2667","e85d",1,1,0,0,0,0,4,3.96,4,"BIO300",201910,4.3,642
"2668","0fb7",1,2,0,0,1,0,2.7,2.54,1.69,"EVOL305",201910,2.91,384
"2669","daf5",1,2,0,0,0,0,3,2.96,3.24,"MATH100",201710,4.08,935
"2670","72f3",1,0,0,0,1,0,2,NA,2.59,"MATH100",201910,2.8,1005
"2671","ec4d",1,0,0,0,0,0,4,3.21,3.77,"MATH100",201810,4.12,884
"2672","90f3",0,0,0,0,0,0,2.3,2.9,3.27,"MATH100",201901,4.21,575
"2673","dd31",0,0,0,0,0,0,4,2.8,3.7,"EVOL305",201810,3.75,321
"2674","b873",1,0,0,0,1,0,3,3.45,3.5,"BIO300",201910,4,642
"2675","275b",1,1,1,0,0,0,2.3,3.67,3.21,"CHEM201",201710,4.25,119
"2676","7b8f",1,1,1,0,1,0,3,2.66,3.63,"BIO300",201901,3.42,818
"2677","ff61",1,2,1,0,1,1,3.3,3.23,3.99,"BIO300",201801,3.59,730
"2678","7a7d",1,2,0,0,0,0,4,4,4,"BIO300",201803,4.2,749
"2679","1230",0,1,0,0,0,0,4,3.94,4,"BIO300",201901,4.27,818
"2680","9da7",1,2,0,1,0,0,4,3.95,4,"MATH100",201701,3.75,475
"2681","caae",1,0,1,0,0,0,2,2.78,2.94,"MATH100",201810,4.22,884
"2682","9112",1,1,0,0,0,1,4,3.37,3.49,"BIO300",201801,4.22,730
"2683","c5cf",1,2,0,0,0,0,3,2.78,3.9,"MATH100",201810,3.66,884
"2684","7340",1,1,1,0,0,1,2.3,2.97,3.17,"BIO300",201901,3.76,818
"2685","1b82",1,1,1,0,0,1,4,3.57,3.33,"MATH100",201910,4.38,1005
"2686","f95f",1,1,1,0,0,0,3,3.16,3.31,"MATH100",201710,3.96,935
"2687","8cfe",1,1,1,0,0,1,1.7,2.92,1.7,"BIO300",201903,3.86,575
"2688","7fca",0,1,0,0,1,0,2,NA,2.12,"MATH100",201910,3.13,1005
"2689","5e94",1,0,0,0,0,0,0,2.65,1.9,"MATH100",201910,4.18,1005
"2690","677b",1,2,1,0,0,0,4,4,4,"MATH100",201710,4.12,935
"2691","53e8",1,0,0,0,0,0,3.7,3.22,3.49,"BIO300",201803,4.22,749
"2692","b9af",1,1,1,0,0,1,3.3,3.53,3.69,"BIO300",201810,3.95,664
"2693","3afe",1,1,1,0,0,1,3,3.46,4,"EVOL305",201803,4.27,268
"2694","3e62",1,0,1,0,0,1,3.3,3.47,3.1,"MATH100",201901,4.36,575
"2695","7c87",0,0,1,0,0,0,1.3,2.84,3.12,"BIO300",201801,4.22,730
"2696","86ce",0,1,1,0,1,0,2,NA,2.77,"MATH100",201610,3.24,908
"2697","e1e6",1,1,1,0,1,0,1.7,NA,3.1,"MATH100",201910,3.43,1005
"2698","33ab",1,1,1,0,1,1,2.7,2.7,3.12,"MATH100",201701,3.35,475
"2699","08c0",1,1,1,0,0,1,3,2.74,3.2,"MATH100",201801,4.15,539
"2700","8cd5",1,0,0,0,1,0,1,2.41,2.35,"BIO300",201703,3.31,665
"2701","6977",1,1,0,0,0,0,3.7,2.81,3.27,"EVOL305",201710,4.05,255
"2702","ba92",0,1,1,0,0,1,2.3,2.33,2.47,"MATH100",201703,4.04,537
"2703","0bb4",1,1,0,0,0,0,2.3,3.13,2.84,"BIO300",201910,4.07,642
"2704","6415",0,2,1,0,1,1,3.7,3,4,"BIO300",201610,3.66,652
"2705","b7e5",1,0,0,0,0,0,4,3.22,3.17,"EVOL305",201910,4.36,384
"2706","b66c",1,2,1,0,1,0,3,1.9,2.17,"MATH100",201801,2.94,539
"2707","43f2",1,1,0,0,0,0,2.3,3.06,3.09,"BIO300",201801,4.13,730
"2708","e500",1,2,1,0,0,1,3,2.79,2.72,"BIO300",201810,4.03,664
"2709","4005",1,2,0,1,0,0,2,3.23,2.29,"MATH100",201710,3.62,935
"2710","04d1",1,0,0,0,0,0,4,3.22,3.77,"EVOL305",201910,4.12,384
"2711","0805",0,1,0,0,0,0,2.7,3.37,2.6,"MATH100",201710,4,935
"2712","00b2",0,2,0,0,0,0,4,4,4,"CHEM201",201910,4.34,143
"2713","c7dd",0,2,1,1,1,0,2,2.3,2.93,"MATH100",201903,3.28,456
"2714","8d6e",0,2,1,0,0,1,1.7,2.51,3.65,"MATH100",201810,4.18,884
"2715","f998",0,0,0,0,1,0,3,2.47,3.56,"BIO300",201901,3.44,818
"2716","f4e4",1,0,0,0,0,0,4,3.79,3.68,"MATH100",201910,4.3,1005
"2717","1c61",1,2,1,0,0,1,3.7,3.75,3.86,"MATH100",201810,4.08,884
"2718","2cd7",1,1,1,0,1,0,0.7,2.35,3.35,"MATH100",201710,3.13,935
"2719","2b15",1,0,0,0,1,0,1.3,2.04,3.82,"BIO300",201910,3.01,642
"2720","96ee",1,2,0,0,0,0,1,2.22,2.46,"BIO300",201710,3.66,599
"2721","f0d1",1,1,0,0,1,0,3.3,NA,3.55,"EVOL305",201810,3.95,321
"2722","08a1",0,1,1,0,1,0,1.7,NA,1.7,"MATH100",201910,3.42,1005
"2723","e1fe",1,1,0,0,0,1,1.7,2.13,2.69,"BIO300",201801,4.04,730
"2724","28f7",1,1,1,0,1,0,2.7,2.61,NA,"BIO300",201803,3.26,749
"2725","1185",0,2,1,0,1,0,3.3,3.47,3.57,"EVOL305",201710,3.73,255
"2726","08c9",0,2,0,0,0,0,4,3.65,3.85,"BIO300",201801,3.96,730
"2727","128e",1,1,1,0,1,0,3.3,3.57,3.27,"MATH100",201901,3.32,575
"2728","42b7",1,2,1,0,0,1,3.7,3.44,3.79,"BIO300",201810,4.28,664
"2729","0c22",1,2,0,0,0,0,4,3.42,2.84,"BIO300",201801,4.25,730
"2730","799d",1,1,1,0,1,0,2,NA,1.84,"BIO300",201710,3,599
"2731","664c",1,2,0,1,0,0,2,3.01,2.93,"EVOL305",201801,3.95,233
"2732","0e20",1,0,0,0,0,0,3,3.91,3.25,"BIO300",201710,4.38,599
"2733","c789",1,0,0,0,1,0,2,2.77,NA,"MATH100",201710,3.48,935
"2734","ab08",1,2,1,1,0,1,0,2.66,2,"MATH100",201710,4,935
"2735","67ed",0,0,0,0,0,0,2.3,3,2.64,"MATH100",201710,3.86,935
"2736","b1fa",1,0,1,0,0,1,4,3.45,4,"BIO300",201610,3.95,652
"2737","7d8b",1,0,0,0,0,0,4,3.75,3.62,"BIO300",201701,3.96,624
"2738","f7c6",1,2,0,0,0,0,3,2.72,3.49,"BIO300",201810,4.18,664
"2739","7239",1,1,0,0,0,0,3.7,3.84,4,"BIO300",201701,4.3,624
"2740","04f4",1,0,0,0,1,0,2,2.73,3.3,"BIO300",201703,2.9,665
"2741","b8e1",0,2,0,0,0,0,2,2.42,2.59,"MATH100",201610,3.87,908
"2742","20a7",1,1,1,0,0,0,4,3.16,3.34,"EVOL305",201910,4.27,384
"2743","d284",1,2,0,0,0,0,2,2.97,3.17,"BIO300",201803,4.09,749
"2744","ee07",1,1,1,1,1,1,3,2.57,3.23,"BIO300",201701,3.4,624
"2745","4e30",0,1,1,0,1,0,3,2.9,2.61,"MATH100",201901,3.76,575
"2746","c4f5",1,2,0,0,0,0,3,2.48,2.65,"MATH100",201610,4.15,908
"2747","2d00",0,0,0,0,0,0,2,2.68,2.66,"MATH100",201801,3.88,539
"2748","0a03",1,2,0,1,0,0,2.7,3.01,3.37,"BIO300",201803,3.92,749
"2749","6a25",1,1,0,0,0,0,2,2.91,2.9,"BIO300",201901,4.19,818
"2750","ff75",1,0,1,0,1,0,2,1.7,1.89,"MATH100",201801,2.96,539
"2751","acaf",0,2,0,0,1,0,0,1.11,0,"MATH100",201810,3.36,884
"2752","4ab8",1,2,1,0,0,1,1.7,2.2,3.14,"EVOL305",201903,4,233
"2753","0d11",1,0,0,0,0,0,3.3,3.28,2.49,"BIO300",201703,4.12,665
"2754","c591",1,2,1,0,0,0,2.7,2.89,3.99,"BIO300",201903,4.22,575
"2755","431f",1,2,0,0,0,1,3,3.37,3.4,"BIO300",201610,4.11,652
"2756","efb0",1,1,0,0,0,0,4,3.94,4,"BIO300",201801,4.4,730
"2757","f900",0,2,0,0,1,0,0,2.9,2.25,"BIO300",201610,3.24,652
"2758","4908",1,2,1,0,0,1,1.7,2.32,2.45,"BIO300",201701,3.58,624
"2759","dac6",1,0,0,0,0,0,3.7,3.93,3.99,"MATH100",201610,3.83,908
"2760","d8d4",1,0,1,0,0,0,4,3.54,3.33,"MATH100",201610,4.12,908
"2761","837c",1,2,0,0,1,0,1.7,3.23,3.39,"EVOL305",201803,3.09,268
"2762","6e26",1,2,0,1,0,0,4,3.88,3.14,"MATH100",201910,4.18,1005
"2763","ff64",1,2,1,0,0,1,2,2.64,2.3,"EVOL305",201903,4.03,233
"2764","1546",0,1,1,0,0,1,2.3,2.61,4,"MATH100",201801,3.86,539
"2765","04ee",1,0,0,0,0,0,4,3.4,3.85,"BIO300",201803,4.16,749
"2766","c934",1,2,0,1,0,0,3.3,3.93,3.62,"MATH100",201801,4.13,539
"2767","21b5",1,0,0,0,0,0,3.7,3.36,2.83,"BIO300",201803,4.25,749
"2768","5299",0,0,0,0,0,0,4,3.23,3.43,"MATH100",201901,4.16,575
"2769","f8f7",1,0,0,0,0,0,2.7,3.12,3.3,"BIO300",201703,4.2,665
"2770","3f7e",0,0,0,0,0,0,3,2.77,2.26,"MATH100",201801,4.04,539
"2771","a07a",0,0,0,0,0,0,1.3,3.36,2.56,"CHEM201",201610,4.31,155
"2772","ac9b",1,0,0,0,0,0,4,3.79,3.68,"BIO300",201810,4.27,664
"2773","9d7e",1,0,0,0,0,0,4,4,3.9,"MATH100",201901,4.36,575
"2774","e73d",1,2,0,0,0,0,4,2.93,3.7,"EVOL305",201910,4.18,384
"2775","2945",0,2,0,0,1,0,1.3,1.92,2,"BIO300",201803,3.25,749
"2776","90a8",1,0,1,0,0,0,1.3,2.85,2.31,"BIO300",201801,4.29,730
"2777","2853",0,2,1,0,0,1,2.7,3.3,4,"EVOL305",201701,4.12,183
"2778","98b4",1,2,1,0,0,0,2.3,2.91,3.51,"BIO300",201610,4.15,652
"2779","8fc7",0,2,1,0,0,0,4,3.77,3.31,"BIO300",201810,4.31,664
"2780","57f2",1,1,1,0,1,0,2,3.06,0.86,"EVOL305",201810,3.82,321
"2781","e650",1,1,1,0,0,0,2,2.76,2.71,"BIO300",201701,4.16,624
"2782","fd75",1,2,1,0,0,1,1.7,2.3,1.57,"BIO300",201903,4.08,575
"2783","85a2",1,0,0,0,0,0,3,3.22,2.93,"MATH100",201710,3.76,935
"2784","4ec9",0,2,1,0,0,0,4,4,3.89,"MATH100",201803,4.33,584
"2785","2602",1,2,0,0,0,0,2.3,2.76,2.95,"BIO300",201701,4.04,624
"2786","9399",1,2,0,0,0,0,2,2.86,2.27,"BIO300",201903,3.95,575
"2787","6b1e",0,0,0,0,0,0,4,3.98,4,"MATH100",201810,4.36,884
"2788","513c",1,0,0,0,0,0,4,3.5,3.67,"EVOL305",201803,4.33,268
"2789","7061",1,2,1,0,1,0,2.3,3.29,3.13,"BIO300",201801,3.66,730
"2790","9ddf",1,1,1,0,1,0,2.3,NA,2.62,"BIO300",201910,3.26,642
"2791","a4b0",1,1,1,0,0,0,3,2.68,1.69,"EVOL305",201710,3.86,255
"2792","3a68",0,2,0,0,0,0,3,3.36,3.81,"MATH100",201610,4.09,908
"2793","21ab",1,0,0,0,0,0,4,3.4,4,"BIO300",201701,4.09,624
"2794","0429",1,0,1,0,0,0,3.3,3.02,2,"BIO300",201901,4.3,818
"2795","9735",0,2,0,0,0,0,3.7,3.7,3.99,"BIO300",201710,3.8,599
"2796","2899",1,1,1,0,0,0,1.7,2.63,2.45,"MATH100",201801,3.79,539
"2797","b829",0,0,0,0,1,0,3.7,NA,3.85,"BIO300",201710,3.97,599
"2798","f13c",1,2,0,0,0,0,2.7,3.07,2.2,"MATH100",201803,3.81,584
"2799","133e",1,2,1,0,1,1,2.3,2.13,2.38,"BIO300",201801,3.42,730
"2800","fb2c",0,0,0,0,0,1,3.3,3.08,2.37,"MATH100",201701,3.68,475
"2801","94e9",1,2,0,0,0,0,4,3.54,3.7,"EVOL305",201810,4.13,321
"2802","0496",1,1,0,0,1,0,2,NA,2.7,"BIO300",201610,3.53,652
"2803","5a15",1,0,0,0,0,0,4,3.81,3.9,"EVOL305",201903,4.08,233
"2804","b75b",1,0,0,0,0,0,3,2.35,2.57,"MATH100",201710,3.84,935
"2805","7e74",0,2,1,0,0,0,2.7,3.35,3.79,"EVOL305",201810,4.12,321
"2806","5e46",1,2,0,0,0,0,2,2.68,1.68,"MATH100",201610,4.04,908
"2807","a1cb",1,2,1,0,0,1,0,2.21,1.81,"MATH100",201803,4.15,584
"2808","faac",1,2,1,0,1,0,1.7,1.87,3.68,"MATH100",201801,2.83,539
"2809","51f7",1,2,0,0,0,0,1.7,2.93,2.88,"BIO300",201703,4,665
"2810","2ee0",1,1,1,0,1,1,3.3,3.33,3.52,"EVOL305",201903,3.29,233
"2811","2364",0,1,1,0,0,1,2.7,3.29,3.35,"BIO300",201910,3.82,642
"2812","5f89",1,0,0,0,0,0,2.3,2.79,3.26,"MATH100",201810,4.11,884
"2813","e00c",1,2,1,0,0,1,2,2.57,2.88,"MATH100",201703,3.9,537
"2814","7965",0,0,0,0,0,0,4,3.44,3.55,"BIO300",201801,3.85,730
"2815","414a",1,2,1,0,0,1,4,3.21,3.56,"MATH100",201710,4,935
"2816","40be",1,1,1,0,1,1,3,NA,2.7,"MATH100",201810,3.3,884
"2817","44ec",1,0,1,0,0,0,3.3,3.06,3.52,"BIO300",201810,4.17,664
"2818","8a87",1,0,0,0,1,0,3,NA,3.13,"MATH100",201610,3.49,908
"2819","b37c",0,2,0,1,0,0,1.7,2.63,0.97,"MATH100",201703,4,537
"2820","ee55",1,1,1,0,0,0,3,3.21,2.67,"BIO300",201710,4,599
"2821","bb6d",1,1,0,0,0,0,3.3,3.2,2.29,"MATH100",201903,4.16,456
"2822","eada",1,1,1,1,1,1,0,2,2.47,"MATH100",201803,3.02,584
"2823","b6ca",1,2,0,0,1,0,3.7,4,3.57,"MATH100",201710,3.83,935
"2824","319b",1,0,0,0,0,0,4,3.53,3.83,"EVOL305",201701,4.18,183
"2825","4628",1,2,0,0,0,1,2,3.46,2.3,"BIO300",201903,4.08,575
"2826","f1c9",1,2,1,0,1,1,0,2.61,2.4,"BIO300",201910,2.79,642
